Current_Speed,Free_Flow_Speed,Current_Travel_Time,Free_Flow_Travel_Time,Confidence,Road_Closure,Road_Class,Road_ID,Latitude,Longitude,Congestion_Index
32,44,2043,1486,1,False,FRC2,0,28.55948065,77.1711239,0.272727272727273
25,28,188,168,1,False,FRC2,1,28.5604490723605,77.1698608516831,0.107142857142857
7,16,130,57,1,False,FRC2,3,28.5800331670284,77.1753631653271,0.5625
25,44,729,414,1,False,FRC1,4,28.5781532637711,77.176360619152,0.431818181818182
17,30,123,70,1,False,FRC2,5,28.5691942357299,77.191774576584,0.433333333333333
27,36,703,527,0.992833,False,FRC3,6,28.5694772882645,77.1897233004836,0.25
25,45,724,402,1,False,FRC2,7,28.5983363746874,77.1737035497469,0.444444444444444
18,22,374,306,1,False,FRC2,9,28.6314368924457,77.2220685038805,0.181818181818182
18,22,374,306,1,False,FRC2,11,28.6311637144751,77.2195580699248,0.181818181818182
18,22,374,306,1,False,FRC2,12,28.6317048394206,77.2173271304418,0.181818181818182
18,22,374,306,1,False,FRC2,14,28.6341211256329,77.2173588557334,0.181818181818182
18,22,374,306,1,False,FRC2,15,28.6339541577557,77.2222202548031,0.181818181818182
18,22,374,306,1,False,FRC2,16,28.6338288872256,77.222738865186,0.181818181818182
18,22,374,306,1,False,FRC2,17,28.6299539894032,77.2203470031384,0.181818181818182
18,22,374,306,1,False,FRC2,18,28.6302933003163,77.219508744593,0.181818181818182
18,22,374,306,1,False,FRC2,19,28.6300195091748,77.218829899821,0.181818181818182
18,22,374,306,1,False,FRC2,20,28.631551,77.2167011,0.181818181818182
29,36,983,792,1,False,FRC6,21,28.6312774044893,77.2164240260099,0.194444444444444
18,22,374,306,1,False,FRC2,22,28.6343661,77.2170859,0.181818181818182
17,25,593,403,1,False,FRC2,23,28.6358460445448,77.2142643078838,0.32
18,22,374,306,1,False,FRC2,24,28.6356621733234,77.2193736532055,0.181818181818182
18,22,374,306,1,False,FRC2,25,28.6353132989602,77.2198599680772,0.181818181818182
18,22,374,306,1,False,FRC2,26,28.6355084553014,77.2206633173878,0.181818181818182
17,28,4,2,1,False,FRC3,28,28.620418,77.2189237,0.392857142857143
24,33,384,279,1,False,FRC3,29,28.6232577998458,77.2190469022561,0.272727272727273
18,30,369,221,1,False,FRC2,30,28.6198496170786,77.2268484399359,0.4
20,32,713,445,1,False,FRC3,31,28.6191786012054,77.2260463853931,0.375
18,30,369,221,1,False,FRC2,32,28.6196392792577,77.2268385065122,0.4
14,29,7,3,1,False,FRC3,33,28.6259437443463,77.2315480138752,0.517241379310345
20,32,713,445,1,False,FRC3,34,28.6266441281159,77.2302045616259,0.375
14,29,7,3,1,False,FRC3,35,28.6260439,77.23165565,0.517241379310345
19,27,370,260,1,False,FRC3,36,28.626080932808,77.2321787613277,0.296296296296296
28,39,207,149,1,False,FRC1,37,28.6104611935383,77.2335021792025,0.282051282051282
28,39,207,149,1,False,FRC1,38,28.6088599145245,77.2310017958927,0.282051282051282
28,39,207,149,1,False,FRC1,39,28.6094990497348,77.2308802598986,0.282051282051282
42,42,159,159,1,False,FRC3,40,28.6109794002412,77.2276206402184,0
28,39,207,149,1,False,FRC1,41,28.6112762456331,77.2278526138313,0.282051282051282
25,27,257,238,0.716301,True,FRC4,42,28.6136036,77.215336,0.0740740740740741
19,21,212,192,0.574783,True,FRC4,43,28.61375735,77.212156,0.0952380952380952
19,21,212,192,0.574783,True,FRC4,44,28.6133114703169,77.2121725907859,0.0952380952380952
28,39,207,149,1,False,FRC1,45,28.6097968984491,77.2300203990747,0.282051282051282
28,39,207,149,1,False,FRC1,46,28.6103898164393,77.2290196839107,0.282051282051282
26,26,96,96,1,False,FRC4,47,28.61899125,77.20950695,0
31,31,73,73,1,False,FRC4,48,28.6195481151947,77.2098612532444,0
28,28,168,168,1,False,FRC2,49,28.5559995083438,77.1754239869783,0
31,44,2109,1486,1,False,FRC2,50,28.5581745805288,77.1726663275877,0.295454545454545
31,44,2109,1486,1,False,FRC2,51,28.5670936,77.1278657,0.295454545454545
31,44,2109,1486,1,False,FRC2,52,28.566778522954,77.1280696369879,0.295454545454545
37,37,1184,1184,1,False,FRC2,53,28.5684327478249,77.1257824276579,0
24,42,784,448,1,False,FRC1,54,28.5695301893184,77.2041929714002,0.428571428571429
35,35,33,33,1,False,FRC2,55,28.5724405161057,77.2091380696113,0
28,28,191,191,1,False,FRC4,57,28.5514255417277,77.1699172598994,0
